"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 2","10:00","10:00","1.07","9:21","136","148","89","33","168","1.02","101","84.0","8:13","175","10:00","9:21"
"","1","Run","3","1:00","11:00","0.15","6:42","149","152","0","33","179","1.34","10","80.6","6:16","185","0:59","6:35"
"","","Recovery","4","1:00","12:00","0.11","8:42","145","149","0","16","173","1.07","10","78.8","7:01","179","1:00","8:42"
"","2","Run","5","1:00","13:00","0.15","6:43","150","154","0","16","180","1.33","11","78.8","6:29","181","1:00","6:43"
"","","Recovery","6","1:00","14:00","0.12","8:39","148","152","0","20","173","1.08","11","78.8","6:36","181","1:00","8:39"
"","3","Run","7","1:00","15:00","0.14","6:56","151","153","0","13","181","1.28","11","78.8","6:54","184","1:00","6:56"
"","","Recovery","8","1:00","16:00","0.12","8:09","148","151","0","3","175","1.13","11","78.8","6:53","181","1:00","8:09"
"","4","Run","9","1:00","17:00","0.15","6:49","155","158","0","10","180","1.31","11","78.8","6:19","183","1:00","6:49"
"","","Recovery","10","1:00","18:00","0.11","8:55","155","158","0","10","176","1.03","11","80.6","6:38","183","1:00","8:55"
"","5","Run","11","1:00","19:00","0.14","6:59","157","162","0","10","182","1.27","12","80.6","6:44","185","1:00","6:59"
"","","Recovery","12","1:00","20:00","0.11","8:43","156","159","0","3","176","1.05","11","80.6","7:26","183","1:00","8:43"
"","6","Run","13","1:00","21:00","0.14","7:21","157","161","7","7","183","1.20","11","80.6","7:07","191","1:00","7:21"
"","","Recovery","14","1:00","22:00","0.11","9:01","155","159","0","10","176","1.01","11","80.6","7:33","183","1:00","9:01"
"","7","Run","15","1:00","23:00","0.13","7:27","158","160","0","13","182","1.19","12","82.4","7:16","185","1:00","7:27"
"","","Recovery","16","1:00","24:00","0.12","8:17","156","161","0","7","176","1.10","11","82.4","7:46","185","1:00","8:17"
"","8","Run","17","1:00","25:00","0.14","7:07","158","162","0","0","183","1.24","12","82.4","6:58","187","1:00","7:07"
"","","Recovery","18","1:00","26:00","0.11","8:49","156","165","0","3","176","1.04","11","82.4","7:01","183","1:00","8:49"
"","9","Run","19","1:00","27:00","0.14","7:13","159","165","10","59","184","1.21","12","84.2","6:59","189","1:00","7:13"
"","","Recovery","20","1:00","28:00","0.11","8:56","156","160","36","20","174","1.03","11","84.2","7:10","181","1:00","8:56"
"","10","Run","21","1:00","29:00","0.14","7:22","159","162","16","30","180","1.21","12","84.2","7:03","184","1:00","7:22"
"","","Recovery","22","1:00","30:00","0.12","8:22","155","159","0","3","176","1.09","11","84.2","8:07","183","1:00","8:22"
"","11","Run","23","1:00","31:00","0.13","7:25","157","161","39","10","182","1.19","11","84.2","7:06","187","1:00","7:25"
"","","Recovery","24","1:00","32:00","0.11","8:43","168","172","20","52","178","1.04","13","84.2","8:11","183","1:00","8:43"
"","12","Run","25","1:00","33:00","0.15","6:42","171","175","20","16","174","1.38","13","84.2","6:51","187","1:00","6:42"
"","","Recovery","26","1:00","34:00","0.10","9:52","170","177","33","43","174","0.94","13","84.2","7:19","181","1:00","9:52"
"","13","Run","27","1:00","35:00","0.13","7:47","172","179","66","7","184","1.12","13","84.2","7:37","189","1:00","7:47"
"","","Recovery","28","1:00","36:00","0.12","8:37","172","176","10","16","174","1.07","13","84.2","7:55","187","1:00","8:37"
"","14","Run","29","1:00","37:00","0.15","6:51","171","177","7","10","179","1.31","13","84.2","6:49","183","1:00","6:51"
"","","Recovery","30","1:00","38:00","0.12","8:35","174","180","0","10","173","1.08","13","84.2","6:47","181","1:00","8:35"
"","","Cool Down","31","4:00","42:00","0.48","8:20","168","176","69","66","173","1.11","53","86.0","7:23","183","4:00","8:20"
"","15","Run","32 - 34","25:15","1:07:15","2.92","8:40","149","170","764","538","170","1.09","269","85.4","7:29","187","25:15","8:39"
"","Summary","--","--","1:07:15","1:07:15","8.05","8:22","152","180","1,184","1,093","173","1.11","748","83.8","6:16","191","1:07:14","8:21"